WeekCount,Date,Weekday,Task1,Manuscript1,TaskType1,PlannedTime1 (h),AccomplishState1 (%),SpentTime1 (h),WordCount1,ParagraphCount,Task2,Manuscript2,TaskType2,PlannedTime2 (h),AccomplishState2 (%),SpentTime2 (h),WordCount2,ParagraphCount2,TotalWordCount,TotalParagraphCount,ExtraEvent,ExtraTime (h),ProductivityRating (1-5),GeneralOverview
2,2023-1-13,Friday,"Evergreen note
Sensorimotor integration",M3,Literature,3,20,1,78,0,Text rephrasing with ChatGPT,M2,Revising,2,0,0,0,0,78,0,,,0.5,
3,2023-1-16,Monday,"Check all comments
add summary & reference
Grammarly",M2,Revising,3,50,2.5,72,0.5,"Grammaly
All parts other than discussion
Email LG for revision",M1,Revising,1,100,2.5,0,0,72,0.5,"Scrum & lab meeting
Meeting with Jan",2,4.3,
3,2023-1-17,Tuesday,"Check all comments
add summary & reference
Grammarly",M2,Revising,3,20,2,0,0,,,,,,,,0,0,0,,,0.5,
3,2023-1-18,Wednesday,Discussion,M2,Revising,2,40,6,0,0,Introduction,M2,Revising,3,0,0,0,0,0,0,Scrum meeting,0.5,4.2,
3,2023-1-19,Thursday,Discussion,M2,Revising,4,0,0,0,0,Discussion Part 1/4,M3,Writing,2,0,0,0,0,0,0,,,0,"1st day in period, couldn't work"
3,2023-1-20,Friday,"Discussion
General bias additional paragraph",M2,Writing,1,100,1,211,1,Discussion Part 1/8,M3,Writing,0.5,100,0.3,61,0.5,272,1.5,,,4.5,Prepare for the new year
4,2023-1-23,Monday,"Discussion
Solving remaining comments",M2,Revising,1.5,90,1.5,0,0,Obsidian Note * 2,M3,Literature,2,0,0,0,0,0,0,"Scrum, Lab meeting
FT Ploting for YL",4,4,"Still remain big comments which may need to work together with intro & cite new papers (demand high working load ), leave them as separate task in the next days
Worked on YL's FT plotting, didn't get enough time for task 2
Got Lukazs' email, a whole round of revision, check his comments in the shared documemt"
4,2023-1-24,Tuesday,Checking Lukasz's comments,M1,Revising,1,100,0.8,0,0,,,,,,,,,0,0,Revising FT Ploting for YL,1,4.8,All simple comments were solved & colsed. Work on the large ones in new task
4,2023-1-25,Wednesday,Updating plots & captions according to LG's comments,M1,Revising,2,90,2,0,0,,,,,,,,,0,0,"transform shared google doc, email & messaging LG & SW",0.7,4.8,"Find out one more figure to revise after finishing, so not as 100%"
4,2023-1-26,Thursday,Skeleton outline for full paper review meeting with SW,M2,Revising,1,0,0,0,0,"Obsidian Note Stefanie Bayesian modelling, thinking of M3 outline ",M3,Literature,2,0,0,0,0,0,0,,,0,"Unexpected emergency, didn't work"
5,2023-2-1,Wednesday,Revision for Strongway's comments,M1,Revising,5,100,2.5,20,0,Skeleton outline for full paper review meeting with SW,M2,Revising,2,100,0.5,104,0,124,0,"Tasks organization
GSN Prolongation
CV revision for YL",3.5,4.5,"Not very productive in the morning, much better in the afternoon and evenning"
5,2023-2-2,Thursday,Discussion plot & caption,M1,Revising,1,100,1.5,15,0,"Obsidian Note similar study + Stefanie Bayesian modelling, thinking of M3 outline ",M3,Literature,4,,,,,,,,,,
